YDf95gJZaq05wvo7hTQbbQ, Richmond Town Square, , 691 Richmond Rd, Richmond Heights, OH, 44143, 41.5417162, -81.4931165, 2.0, 17
jqp5TibmgJZVFKHTp3XfqQ, Alpaul Automobile Wash, , 2128 Warrensville Ctr Rd, Cleveland, OH, 44121, 41.5018198, -81.536776, 3.0, 25
1cLXGXThDYZ5WK_KpBLtkw, Koko Bakery, Goodrich Kirtland, 3710 Payne Ave, Cleveland, OH, 44114, 41.5094078, -81.6621618, 4.0, 162
-PtTGvWsckUL8tTutHr6Ew, Snip-its Rocky River, , 21609 Center Ridge Rd, Rocky River, OH, 44116, 41.459468, -81.8587383, 2.5, 18
8E5l83iGubQmtivb24TL_Q, Saks Fifth Avenue, , 26100 Cedar Rd, Beachwood, OH, 44122, 41.4994869262, -81.4941790329, 3.0, 25
KhPCS4OAr9po5hMtFhDvmg, Rad Air Complete Car Care and Tire Centers, , 6565 Pearl Rd, Parma Heights, OH, 44130, 41.3830675, -81.7760369, 3.5, 3
Bl7Y-ATTzXytQnCceg5k6w, Sidewalk Cafe Painesville, , 1 S State St, Painesville, OH, 44077, 41.7260294, -81.2409431, 3.0, 26
tzHbcCa6wMyNgQD0zqaQJA, Stagehouse Vision Center, , 8879 Brecksville Rd, Brecksville, OH, 44141, 41.320623, -81.625754, 5.0, 3
ldwon-7FnBRRblX8RirnEg, Progressive Insurance, , 500 Broadway Ave, Bedford, OH, 44146, 41.395688, -81.541456, 3.5, 3
7HFRdxVttyY9GiMpywhhYw, Zeppe's Pizzeria, , 10430 Northfield Rd, Northfield, OH, 44067, 41.342763, -81.529281, 3.0, 7
k4RXLrsCyHcRkb41Y5Ba5g, Detroit Lakewood Automotive, , 12511 Detroit Ave, Lakewood, OH, 44107, 41.484011, -81.775949, 4.0, 5
CFPZV3qKJItRvWHimu359w, Midas, , 1450 W. 117th Street, Lakewood, OH, 44107, 41.4822164, -81.7692231, 3.0, 13
fOQBnkY3KK-qqkD-5PtrHA, Sgt. Clean's Car Wash, , 18534 Pearl Rd, Strongsville, OH, 44136, 41.2845223, -81.8359535, 3.5, 8
-iu4FxdfxN4rU4Fu9BjiFw, Alterations Express, , 17240 Royalton Rd, Strongsville, OH, 44136, 41.3140625, -81.8206835, 4.0, 3
-K4gAv8_vjx8-2BxkVeRkA, Baby Cakes, , 4145 Erie St, Willoughby, OH, 44094, 41.6398599, -81.406417, 3.5, 5
lXcxSdPa2m__LqhsaL9t9A, Firehouse Subs, , 9209 Mentor Ave, Mentor, OH, 44060, 41.6764311, -81.3117527, 3.5, 9
D1N1UAK-oWFy62NDclUf4Q, Grbach Bruce D DDS, , 9203 Mentor Ave, Mentor, OH, 44060, 41.6764113, -81.3118514, 4.0, 3
Pawavw9U8rjxWVPU-RB7LA, Richie Chan's Chinese Restaurant, , 13181 Cedar Rd, Cleveland, OH, 44118, 41.5014129, -81.5659822, 3.5, 22
RzVHK8Jfcy8RvXjn_z3OBw, Romeo's Pizza, , 134 E Aurora Rd, Northfield, OH, 44067, 41.313373, -81.532933, 4.0, 4
8pYwfZNZc_6W1l_K6c-HfA, Village Ski and Snowboard, , 25401 Lorain Rd, North Olmsted, OH, 44070, 41.4226031586, -81.9034895368, 4.5, 8
t0m7T6w08rz-xMWxEPYx4w, LensCrafters, , 4690 Midway Mall, Elyria, OH, 44035, 41.396571, -82.113412, 2.5, 3
2bGCupC5mfHmEaor4pZaqg, Clean Machine, , , Cleveland, OH, 44130, 41.376464, -81.7677645, 4.5, 3
HViavQl5g5XCyAdRiykX6A, Petco, , 6859 Pearl Rd, Middleburg Heights, OH, 44130, 41.378938, -81.786447, 1.5, 3
jNbFKHT7j4XIxCsuKRC8WQ, Crooked River BBQ + Beer, , 9110 Mentor Ave, Mentor, OH, 44060, 41.6745459, -81.3131701, 2.5, 13
gQ93Na9yBJghX8HzH7smwQ, China One Buffet, , 1990 Cooper Foster Park Rd, Lorain, OH, 44053, 41.4182365408, -82.1990116686, 3.0, 4
nWAN1_uxgCGNhdArngSGfw, Golf Galaxy, , 1547 Golden Gate Plz, Mayfield Heights, OH, 44124, 41.519549, -81.4498892, 4.0, 3
vEsAPc0fEDP1YPeSQanxfQ, Steak 'n Shake, , 5300 Abbe Rd, Elyria, OH, 44035, 41.420655, -82.077622, 2.5, 27
PM6nMLKgCPsW-1ukrbnDvg, Giant Eagle, , 230 Howe Ave, Cuyahoga Falls, OH, 44222, 41.1174634559, -81.4833845194, 3.0, 10
Q7Xw5YbS4wN7sdqZRsq4vQ, Cardstore, Brooklyn, 1 American Rd, Cleveland, OH, 44144, 41.4375, -81.7636255, 2.5, 8
bGSVy6nFFzpRMERVta3JiQ, San Francisco Stir Fry, , 7271 Center St, Mentor, OH, 44040, 41.6729943, -81.339388, 4.0, 24
wkhxaIt6S9bQ0twAD9Svpw, Giuseppes Pizza & Subs, , 728 Richmond Rd, Cleveland, OH, 44143, 41.5408137, -81.4976768, 3.5, 6
RlgWYfIPUvafq8eoWoIVKw, Animal Hospital, , 2735 Som Center Rd, Willoughby, OH, 44094, 41.588334, -81.438977, 2.5, 6
fNV-Fd_bNmny8RrHCRWKMQ, Moe's Bar, Playhouse Square, 1640 Walnut Ave, Cleveland, OH, 44114, 41.5039273, -81.6807724, 4.5, 3
TRgT7-WCdqKZWzMshEzk9g, American Croatian Lodge, , 34900 Lakeshore Blvd, Eastlake, OH, 44095, 41.6627416, -81.4411027, 3.0, 6
ZPbyFnK_gW7Ap08IhyTxWQ, Eastlake Barber Shop, , 35475 Vine St, Eastlake, OH, 44095, 41.643255, -81.435388, 4.0, 5
hqjBvbNvrAp82Av1RXvkyA, Rachel Liberati - Howard Hanna, , 41 N Main St, Chagrin Falls, OH, 44022, 41.4308451, -81.3919544, 5.0, 6
ky4AyA_y6gx20tf95mZxSA, Bass Lake Taverne Inn, , 426 South St, Chardon, OH, 44024, 41.570459, -81.204205, 3.5, 39
xK4ZY4t88g9LD_SHMaQ3VA, Dairy Queen, , 12152 Pearl Rd, Strongsville, OH, 44136, 41.3239718, -81.8373343, 3.5, 6
L_YeE3xGRKKrQlsJ_-95qA, Pokrova Ukrainian Parish & Banquet Hall, , 6812 Broadview Rd, Cleveland, OH, 44134, 41.3800192, -81.6847822, 3.5, 3
2xcnolaD9e6voXJnrbu_Hg, B.A. Sweetie Candy, , 6770 Brookpark Rd, Cleveland, OH, 44129, 41.420046, -81.731944, 4.0, 49
VUb97h3RTg6InKdfgB49Bw, Happy Dog at the Euclid Tavern, , 11625 Euclid Ave, Cleveland, OH, 44106, 41.5111069, -81.6026252, 4.0, 70
yMS8XMDf5vZLtE-rNZa63Q, Pine Hills Golf Club, , 433 W 130th St, Hinckley, OH, 44233, 41.2644465, -81.7849574, 4.0, 4
LgSmlKSc8zMlcXuwSHVYkg, Verizon, , 9529 State Rte 14, Streetsboro, OH, 44241, 41.2444, -81.356346, 4.5, 3
le4fLtpLE3PdGnqRFr537w, Marco's Pizza, , 23657 Lorain Rd, North Olmsted, OH, 44070, 41.432007, -81.8829151, 3.0, 8
CJaR-hlHZVrFVwNi_3ZNgA, America's Best Value Inn, , 14043 Brookpark Rd, Brook Park, OH, 44142, 41.41781462, -81.7926650773, 1.5, 5
29PlNR05Bh0qUZK0CVS6UA, Tuesday Morning, , 13908 Cedar Rd, Cleveland, OH, 44118, 41.5008913, -81.5392711, 4.5, 4
CtYWpX_cy1YdZgoKtS0Tqg, Happys Pizza, Detroit-Shoreway, 7412 Detroit Ave, Cleveland, OH, 44102, 41.4827824, -81.7362257, 2.0, 17
tbMIW8GSCBgpYOfKlaQXSg, Blossom Music Center, , 1145 W Steels Corners Rd, Cuyahoga Falls, OH, 44223, 41.1913469, -81.5607834, 3.5, 99
G0EJjh-dqJBmSEhQRog-hQ, Swensons Drive-In Restaurants, , 4466 Kent Rd, Stow, OH, 44224, 41.1549076, -81.4009335, 4.5, 76
0cxO1Lx2Pi7u6ftWX3Wksg, Oinky's Pork Chop Heaven, , 22483 Emery Rd, North Randall, OH, 44128, 41.4352500754, -81.5213585423, 3.0, 3
F1bwQiPPaKFRXJE20hcaGA, Waggs-N-Whiskers, , 14303 Madison Ave, Lakewood, OH, 44107, 41.4771222, -81.793807, 4.5, 19
SNDDcSH1nGrGy85LvMc7TA, Selah Salon, , 17108 Detroit Ave, Lakewood, OH, 44107, 41.4855221164, -81.8159238249, 3.5, 3
n8GCGa5gX17Ibix5VsGMuw, Popeyes Louisiana Kitchen, , 4645 Northfield Rd, Cleveland, OH, 44128, 41.4306838, -81.5249463, 3.5, 3
Tse6B0tklvsQwURxdzTJAQ, Bob's Automotive, Ridge & Memphis, 4215 Ridge Rd, Cleveland, OH, 44144, 41.441818, -81.734912, 5.0, 4
VgSF_jQ8St7A2DhdafRDCQ, Quicken Loans Arena, Gateway District, One Center Ct, Cleveland, OH, 44115, 41.496880357, -81.6887140274, 4.0, 113
q1DPrSrM1cbdTnUONdkwpw, Holiday Inn Select-City Centre Lakeshore, Civic Center, 1111 Lakeside Ave E, Cleveland, OH, 44114, 41.5065352, -81.6896137, 2.5, 3
